Year,Number of Crashes,Fatal Injuries,Serious Injuries,Minor Injuries
1982,3593,1585,727,998
1983,3556,1273,673,1048
1984,3457,1229,697,1047
1985,3096,1648,612,1108
1986,2880,1180,619,970
1987,2828,1237,554,936
1988,2730,1195,620,1117
1989,2544,1532,518,1029
1990,2518,999,589,908
1991,2462,1087,535,913
1992,2355,1273,609,775
1993,2313,865,505,910
1994,2257,1183,529,763
1995,2309,1236,480,731
1996,2187,2533,532,729
1997,2148,1296,497,1026
1998,2226,1325,388,807
1999,2209,1221,491,1206
2000,2220,1765,501,1256
2001,2063,1709,478,612
2002,2020,1386,432,706
2003,2085,1374,480,772
2004,1952,978,457,603
2005,2031,1689,426,620
2006,1851,1489,420,473
2007,2016,1335,402,543
2008,1931,1293,511,786
2009,1805,1207,381,625
2010,1821,1390,343,589
2011,1889,959,432,488
2012,1861,1007,336,464
2013,1561,839,358,671
2014,1547,1438,321,469
2015,1600,1112,364,473
2016,1628,835,297,468
2017,1597,677,295,401
2018,1581,847,331,437
2019,640,477,120,129
Total,83374,47719,17862,28607
